letra,respuesta,definicion
A,Astrolabio,Instrumento antiguo para orientarse usando las estrellas
B,Búho,Ave nocturna con ojos grandes y vuelo silencioso
C,Cúpula,Techo redondeado con forma de media esfera
D,Dínamo,Dispositivo que convierte movimiento en electricidad
E,Espiral,Curva que gira alrededor de un punto alejándose o acercándose
F,Fósil,Resto o huella de un ser vivo antiguo preservado en roca
G,Góndola,"Embarcación típica de Venecia, larga y estrecha"
H,Holograma,Imagen que parece tener volumen y flotar en el aire
I,Imán,Objeto que atrae metales como el hierro
J,Jirafa,Animal de cuello muy largo que vive en África
K,Kiosco,Puesto pequeño donde se venden golosinas o diarios
L,Laberinto,Red de caminos con entradas y salidas confusas
M,Mosaico,Imagen hecha con pequeñas piezas de cerámica o vidrio
N,Nácar,Material brillante del interior de algunas conchas
Ñ,Ñandú,Ave grande sudamericana parecida al avestruz
O,Oxígeno,Gas esencial para respirar
P,Prisma,Sólido transparente que separa la luz en colores
Q,Quórum,Cantidad mínima de personas para tomar decisiones
R,Ribera,"Orilla de un río, lago o mar"
S,Satélite,Objeto que gira alrededor de un planeta
T,Telescopio,"Instrumento para observar objetos lejanos, como estrellas"
U,Utopía,"Idea de una sociedad perfecta, difícil de lograr"
V,Vitrina,Mueble con vidrio para exhibir objetos
W,WiFi,Tecnología para conectarse a internet sin cables
X,Xenón,Gas noble usado en algunas lámparas
Y,Yunque,Bloque de metal donde se trabaja el hierro
Z,Zafiro,"Piedra preciosa, generalmente azul"
