letra,respuesta,definicion
A,Acuarela,Técnica de pintura hecha con agua y pigmentos
B,Búho,Ave nocturna con ojos grandes y vuelo silencioso
C,Cúpula,Techo redondeado con forma de media esfera
D,Delfín,Mamífero marino muy inteligente y sociable
E,Espiral,Curva que gira alrededor de un punto alejándose o acercándose
F,Faro,Torre con luz que guía barcos en la costa
G,Garganta,Paso estrecho entre montañas o rocas
H,Holograma,Imagen que parece tener volumen y flotar en el aire
I,Imán,Objeto que atrae metales como el hierro
J,Júbilo,Alegría intensa y contagiosa
K,Kiosco,Puesto pequeño donde se venden golosinas o diarios
L,Lluvia,Agua que cae de las nubes en forma de gotas
M,Meteorito,Roca espacial que cae a la Tierra
N,Nutriente,Sustancia que alimenta y ayuda a crecer
Ñ,Ñandú,Ave grande sudamericana parecida al avestruz
O,Órbita,Camino que recorre un cuerpo alrededor de otro
P,Prisma,Sólido transparente que separa la luz en colores
Q,Quimera,Criatura fantástica formada por partes de distintos animales
R,Reloj,Instrumento que mide y muestra el tiempo
S,Satélite,Objeto que gira alrededor de un planeta
T,Telescopio,"Instrumento para observar objetos lejanos, como estrellas"
U,Ultravioleta,Tipo de luz invisible para el ojo humano
V,Vitrina,Mueble con vidrio para exhibir objetos
W,Windsurf,Deporte de tabla con vela sobre el agua
X,Xenón,Gas noble usado en algunas lámparas
Y,Yacimiento,Lugar donde se encuentran minerales o fósiles
Z,Zodiaco,Conjunto de signos asociados a constelaciones
