letra,respuesta,definicion
A,Astrolabio,Instrumento antiguo para orientarse usando las estrellas
B,Barómetro,Instrumento que mide la presión atmosférica
C,Cúpula,Techo redondeado con forma de media esfera
D,Delfín,Mamífero marino muy inteligente y sociable
E,Ecosistema,Conjunto de seres vivos y su ambiente en equilibrio
F,Fieltro,Tela suave hecha con fibras prensadas
G,Garganta,Paso estrecho entre montañas o rocas
H,Holograma,Imagen que parece tener volumen y flotar en el aire
I,Índice,Lista ordenada de temas o capítulos en un libro
J,Jirafa,Animal de cuello muy largo que vive en África
K,Kárate,Arte marcial originario de Japón
L,Lluvia,Agua que cae de las nubes en forma de gotas
M,Microscopio,Instrumento para ver objetos muy pequeños
N,Nebulosa,Nube de gas y polvo en el espacio
Ñ,Ñu,Antílope africano que migra en grandes manadas
O,Oxígeno,Gas esencial para respirar
P,Péndulo,Objeto colgante que se mueve de un lado a otro
Q,Química,Ciencia que estudia la materia y sus transformaciones
R,Ribera,"Orilla de un río, lago o mar"
S,Silueta,Contorno oscuro de una figura contra un fondo
T,Tundra,Bioma frío con vegetación baja y suelos helados
U,Utopía,"Idea de una sociedad perfecta, difícil de lograr"
V,Volcán,Montaña que puede expulsar lava y ceniza
W,Waffle,"Masa cocida en plancha con cuadraditos, típica de desayuno"
X,Xerografía,Técnica de copiado usada en fotocopiadoras
Y,Yogur,Alimento lácteo fermentado
Z,Zodiaco,Conjunto de signos asociados a constelaciones
