letra,respuesta,definicion
A,Astrolabio,Instrumento antiguo para orientarse usando las estrellas
B,Baldosa,Pieza plana que se usa para cubrir pisos o paredes
C,Ceniza,Polvo gris que queda después de quemar algo
D,Dínamo,Dispositivo que convierte movimiento en electricidad
E,Energía,Capacidad de realizar trabajo o producir cambios
F,Fósil,Resto o huella de un ser vivo antiguo preservado en roca
G,Garganta,Paso estrecho entre montañas o rocas
H,Hidrógeno,"Elemento químico, el más liviano de todos"
I,Invernadero,Estructura de vidrio/plástico para cultivar plantas
J,Júbilo,Alegría intensa y contagiosa
K,Kiosco,Puesto pequeño donde se venden golosinas o diarios
L,Linterna,Luz portátil que funciona con pilas o batería
M,Mosaico,Imagen hecha con pequeñas piezas de cerámica o vidrio
N,Nácar,Material brillante del interior de algunas conchas
Ñ,Ñu,Antílope africano que migra en grandes manadas
O,Órbita,Camino que recorre un cuerpo alrededor de otro
P,Prisma,Sólido transparente que separa la luz en colores
Q,Quimera,Criatura fantástica formada por partes de distintos animales
R,Ribera,"Orilla de un río, lago o mar"
S,Silueta,Contorno oscuro de una figura contra un fondo
T,Telescopio,"Instrumento para observar objetos lejanos, como estrellas"
U,Umbral,Entrada o límite que marca el inicio de algo
V,Vórtice,Remolino de aire o agua que gira con fuerza
W,WiFi,Tecnología para conectarse a internet sin cables
X,Xilófono,Instrumento musical de láminas que se golpean
Y,Yacimiento,Lugar donde se encuentran minerales o fósiles
Z,Zafiro,"Piedra preciosa, generalmente azul"
