letra,respuesta,definicion
A,Acuarela,Técnica de pintura hecha con agua y pigmentos
B,Baldosa,Pieza plana que se usa para cubrir pisos o paredes
C,Cúpula,Techo redondeado con forma de media esfera
D,Diapasón,Herramienta que vibra y sirve para afinar instrumentos
E,Energía,Capacidad de realizar trabajo o producir cambios
F,Faro,Torre con luz que guía barcos en la costa
G,Garganta,Paso estrecho entre montañas o rocas
H,Hemisferio,"Cada mitad de una esfera; por ejemplo, la Tierra"
I,Índice,Lista ordenada de temas o capítulos en un libro
J,Júbilo,Alegría intensa y contagiosa
K,Kiosco,Puesto pequeño donde se venden golosinas o diarios
L,Linterna,Luz portátil que funciona con pilas o batería
M,Meteorito,Roca espacial que cae a la Tierra
N,Nebulosa,Nube de gas y polvo en el espacio
Ñ,Ñoqui,"Pasta hecha con papa y harina, típica en Argentina"
O,Oxígeno,Gas esencial para respirar
P,Péndulo,Objeto colgante que se mueve de un lado a otro
Q,Quórum,Cantidad mínima de personas para tomar decisiones
R,Relámpago,Destello de luz producido por una descarga eléctrica
S,Satélite,Objeto que gira alrededor de un planeta
T,Telescopio,"Instrumento para observar objetos lejanos, como estrellas"
U,Utopía,"Idea de una sociedad perfecta, difícil de lograr"
V,Vórtice,Remolino de aire o agua que gira con fuerza
W,Waffle,"Masa cocida en plancha con cuadraditos, típica de desayuno"
X,Xilófono,Instrumento musical de láminas que se golpean
Y,Yacimiento,Lugar donde se encuentran minerales o fósiles
Z,Zumbido,"Sonido continuo y vibrante, como el de un insecto"
